lapsed,age,sex,region,nregions,memtype,memmonths,mem_mag1,mem_mag2,hasemail,r1,r2,r3,r.quick,extra,intl,r.intl,allgames1yr,allgames5yr,fastevents,medevents,slowevents,nfloor
Y,41,M,reg112,1,N,10,N,N,Y,NA,NA,1282,1674,N,N,NA,4,4,0,1,0,0
Y,24,M,reg139,1,N,40,N,N,Y,NA,NA,NA,NA,N,N,NA,3,3,0,1,0,0
N,43,M,reg128,1,N,131,Y,N,Y,794,790,792,NA,N,N,NA,0,23,0,0,8,0
N,11,F,reg127,1,N,21,N,N,N,NA,NA,NA,931,N,N,NA,0,0,5,0,0,0
Y,7,M,reg129,1,F,38,N,N,N,NA,196,299,422,N,N,NA,4,8,0,2,0,0
Y,12,M,reg140,1,N,52,N,Y,Y,NA,332,377,535,N,N,NA,15,32,0,8,0,0
N,10,NA,reg127,1,N,17,N,N,N,NA,NA,1259,1736,N,N,NA,15,15,0,5,0,0
Y,18,M,reg145,1,F,16,Y,N,N,NA,NA,NA,NA,N,N,NA,3,3,0,1,0,0
Y,16,M,reg112,1,N,49,N,N,N,NA,466,463,634,N,N,NA,0,5,0,1,0,0
Y,13,M,reg112,1,N,26,N,N,Y,NA,NA,1011,1424,N,N,NA,9,9,0,3,0,0
N,14,M,reg102,1,N,201,N,N,Y,1158,1325,2425,2922,N,Y,NA,32,36,1,4,3,0
Y,12,M,reg142,1,N,64,N,N,Y,NA,NA,NA,NA,N,N,NA,0,3,0,1,0,0
Y,13,M,reg145,1,N,47,N,N,Y,NA,589,586,810,N,N,NA,0,6,0,3,0,1
Y,11,M,reg102,1,N,50,N,N,Y,NA,534,1191,1664,N,N,NA,12,20,0,5,0,0
N,38,M,reg127,1,N,378,N,N,N,2869,2894,2838,3370,N,N,NA,35,204,4,1,43,0
N,70,M,reg103,2,N,205,Y,N,Y,2319,2321,2261,NA,N,N,NA,10,10,0,0,2,0
Y,17,M,reg138,1,F,160,N,N,N,1394,1396,1394,1945,N,N,NA,0,10,0,2,0,0
Y,42,M,reg133,1,N,93,N,N,Y,2564,2490,2488,NA,N,N,NA,0,14,0,0,4,0
N,55,M,reg151,1,N,291,Y,N,Y,2922,2925,2926,4152,Y,Y,NA,0,6,0,0,1,0
Y,10,M,reg127,1,N,5,N,N,N,NA,NA,291,403,N,N,NA,5,5,0,1,0,0
N,55,M,reg117,1,N,388,Y,N,Y,NA,NA,NA,NA,N,N,NA,0,0,0,0,0,0
Y,12,M,reg123,1,N,19,N,Y,N,NA,NA,512,637,N,N,NA,5,5,0,1,0,0
N,19,M,reg136,1,N,42,N,N,Y,NA,472,906,1236,N,N,NA,5,15,0,2,1,0
Y,14,M,reg126,1,N,174,N,N,Y,1541,1539,1534,2203,N,N,NA,0,89,0,19,0,0
N,55,M,reg132,1,N,264,Y,N,N,3209,3299,3240,4241,N,Y,3252,9,26,0,0,3,0
Y,12,M,reg150,1,N,20,N,N,Y,NA,NA,226,269,N,N,NA,4,4,0,1,0,0
Y,14,M,reg132,1,A,16,N,N,N,NA,NA,465,641,N,N,NA,4,4,0,1,0,0
Y,65,M,reg150,1,N,247,Y,N,Y,1883,1810,1810,2521,Y,N,NA,0,2,0,1,0,0
Y,11,M,reg133,1,N,24,N,Y,Y,NA,NA,247,285,N,N,NA,4,4,0,1,0,0
N,9,M,reg133,1,N,81,N,N,Y,390,1410,1792,2362,N,N,NA,126,248,0,60,3,0
N,6,M,reg137,1,N,9,N,Y,Y,NA,NA,1002,1383,N,Y,NA,29,29,0,5,1,0
Y,8,F,reg133,1,N,14,N,N,Y,NA,NA,186,262,N,N,NA,5,5,0,1,0,0
Y,8,M,reg114,1,N,19,N,N,N,NA,NA,550,784,N,N,NA,9,9,0,2,0,0
N,13,M,reg112,1,F,206,N,N,Y,1388,1473,1701,2405,N,N,NA,10,136,0,30,1,0
Y,8,M,reg112,1,N,10,N,N,Y,NA,NA,322,456,N,N,NA,6,6,0,1,0,0
Y,14,M,reg127,1,N,195,N,N,N,1858,1860,1930,2655,N,N,NA,5,58,0,12,5,0
N,58,M,reg144,1,N,112,Y,N,Y,3075,3091,3007,4159,N,N,NA,10,93,0,17,11,0
N,16,F,reg137,1,N,49,N,N,N,NA,447,456,606,N,N,NA,12,31,0,7,0,0
N,11,M,reg133,1,N,108,N,N,Y,516,768,1144,1460,N,N,NA,15,40,0,8,1,0
N,50,M,reg127,1,N,280,Y,N,N,2930,2930,2929,NA,N,N,NA,0,0,0,0,0,0
N,70,M,reg102,1,N,358,Y,N,Y,3028,3039,3063,3832,N,Y,3194,6,109,0,0,66,0
N,11,M,reg145,1,N,19,N,Y,Y,NA,NA,1487,2036,N,N,NA,31,31,1,6,1,0
Y,10,F,reg114,1,N,76,N,Y,Y,339,212,211,342,N,N,NA,0,13,4,4,0,1
Y,11,M,reg155,1,N,104,N,Y,Y,822,909,910,1275,N,N,NA,0,67,0,15,0,0
Y,7,M,reg119,1,N,14,N,N,Y,NA,NA,405,569,N,N,NA,6,6,0,2,0,0
N,79,M,reg137,1,N,181,Y,N,N,2924,2790,2704,3752,N,N,NA,5,52,0,0,11,0
N,65,M,reg127,1,N,269,Y,N,Y,2908,2907,2909,3910,N,N,NA,0,0,0,0,0,0
Y,58,M,reg133,1,N,272,N,N,Y,2433,2434,2436,NA,Y,N,NA,0,5,0,0,3,0
Y,12,F,reg127,1,N,22,N,N,Y,NA,NA,204,285,N,N,NA,9,9,0,3,0,0
N,8,F,reg102,1,N,45,N,Y,Y,NA,584,686,989,N,N,NA,37,68,0,11,4,0
N,11,M,reg133,1,N,66,N,N,Y,NA,1380,1490,1749,N,N,NA,5,27,0,5,1,0
N,59,M,reg106,1,N,237,Y,N,Y,NA,NA,NA,NA,N,N,NA,0,0,0,0,0,0
N,7,M,reg154,1,N,19,N,N,Y,NA,NA,573,801,N,N,NA,17,17,0,4,0,0
N,59,M,reg113,1,N,251,N,N,Y,3100,3101,3132,4380,N,N,NA,19,76,2,23,1,6
N,29,M,reg111,1,N,272,N,N,Y,2456,2655,2501,3317,N,N,NA,20,190,55,33,21,0
N,17,M,reg147,1,N,229,N,N,Y,2047,2393,2954,3547,N,Y,NA,46,76,5,9,9,0
N,17,M,reg102,1,N,278,N,N,Y,3046,3046,3034,3970,N,N,NA,6,179,0,7,32,0
Y,10,M,reg112,1,N,19,N,N,Y,NA,NA,358,503,N,N,NA,12,12,0,3,0,0
N,44,M,reg112,1,N,166,Y,N,N,1540,1539,1540,2172,N,N,NA,3,3,0,1,0,0
Y,8,F,reg139,1,N,47,N,N,Y,NA,252,242,342,N,N,NA,19,26,0,6,0,0
Y,26,M,reg127,1,N,12,Y,N,Y,NA,NA,NA,NA,N,N,NA,0,0,0,0,0,0
N,13,M,reg106,1,N,39,N,N,Y,NA,963,1008,1429,N,N,NA,5,15,0,4,0,0
N,61,M,reg106,1,N,265,Y,N,Y,2939,2938,2940,3845,N,N,NA,0,0,0,0,0,0
Y,18,M,reg145,1,N,45,Y,N,Y,NA,NA,NA,NA,N,N,NA,0,3,0,1,0,0
N,49,M,reg102,1,N,358,N,N,Y,2250,2365,2367,2895,N,N,NA,2,99,0,1,32,0
Y,10,M,reg112,1,N,69,N,N,Y,NA,NA,269,573,N,N,NA,4,7,0,1,1,0
Y,12,M,reg137,1,N,8,Y,N,Y,NA,NA,1045,NA,N,N,NA,7,7,1,0,1,0
Y,8,F,reg102,1,N,12,N,N,Y,NA,NA,192,267,N,N,NA,4,4,0,1,0,0
N,13,M,reg102,1,N,80,N,N,Y,1339,1403,1403,2003,N,N,NA,0,36,0,6,2,0
Y,12,M,reg114,1,N,59,N,N,Y,NA,308,306,428,N,N,NA,0,7,0,2,0,0
Y,32,F,reg143,1,N,7,Y,N,Y,NA,NA,NA,NA,N,N,NA,0,0,0,0,0,0
N,12,M,reg143,1,N,12,N,Y,Y,NA,NA,458,644,N,N,NA,19,19,0,4,0,0
N,56,M,reg102,2,N,621,Y,N,Y,2718,2609,2698,3592,Y,N,NA,36,212,0,15,36,0
Y,49,M,reg112,1,N,60,Y,N,N,2919,2922,2918,NA,N,N,NA,0,0,0,0,0,0
N,48,M,reg143,1,N,233,Y,N,Y,2950,2970,2787,3124,Y,Y,NA,45,326,2,8,93,0
Y,7,F,reg133,1,F,46,Y,N,Y,NA,194,192,273,N,N,NA,0,5,0,1,0,0
N,8,F,reg140,1,N,45,N,N,Y,NA,364,951,1344,N,N,NA,19,32,0,7,0,0
N,28,M,reg128,1,N,601,Y,N,Y,3155,2991,3136,3498,N,Y,NA,3,56,0,1,13,0
Y,19,M,reg106,1,N,368,Y,N,N,1342,1339,1342,1879,N,N,NA,0,27,0,8,1,0
Y,28,M,reg102,1,N,230,N,N,Y,3086,3318,3387,4378,N,N,NA,16,116,2,8,46,0
Y,37,M,reg132,1,N,176,N,N,Y,814,814,902,1154,N,N,NA,5,5,0,0,1,0
Y,22,M,reg137,1,N,90,Y,N,Y,1884,2286,2495,3131,N,N,NA,14,53,1,5,6,0
N,28,M,reg102,1,N,398,N,N,Y,NA,2790,2775,3947,N,Y,NA,25,34,2,13,0,0
N,14,M,reg150,2,N,193,Y,N,Y,2694,2574,2778,3476,N,N,NA,30,255,0,51,24,0
Y,9,F,reg127,1,N,21,N,N,N,NA,NA,471,714,N,N,NA,5,5,2,1,0,0
Y,52,M,reg147,2,N,520,Y,N,Y,2681,2611,2685,3697,N,Y,NA,5,17,0,1,4,0
Y,60,M,reg102,1,N,489,Y,N,N,NA,NA,NA,NA,N,N,NA,0,0,0,0,0,0
N,51,M,reg114,1,N,469,Y,N,Y,2213,2214,2215,2356,N,N,NA,0,10,0,0,2,0
Y,70,M,reg102,1,N,22,Y,N,N,NA,NA,2334,3155,N,N,NA,4,4,0,1,0,0
Y,8,M,reg127,1,N,20,N,N,N,NA,NA,342,480,N,N,NA,9,9,0,2,0,0
N,13,F,reg102,1,N,78,Y,N,Y,NA,NA,1528,2000,N,N,NA,0,0,0,0,0,0
N,56,M,reg106,1,N,224,N,N,Y,3283,3268,3430,4584,Y,Y,NA,19,72,2,2,13,0
Y,10,F,reg114,1,F,86,N,N,Y,NA,NA,NA,NA,N,N,NA,0,0,0,0,0,0
Y,11,F,reg117,1,F,79,N,N,Y,187,188,526,263,N,N,NA,10,14,0,1,2,0
Y,11,F,reg140,1,N,15,N,N,Y,NA,NA,974,1379,N,N,NA,14,14,0,3,0,0
N,15,F,reg126,1,F,228,N,N,Y,1467,1528,1920,2395,N,N,NA,23,90,0,15,5,0
Y,12,F,reg143,1,N,11,N,N,N,NA,NA,198,277,N,N,NA,5,5,0,1,0,0
Y,11,F,reg140,1,N,18,N,N,Y,NA,NA,511,844,N,N,NA,31,31,0,5,1,0
N,40,M,reg129,1,N,190,N,N,Y,1750,1751,2065,3177,N,N,NA,17,27,8,3,3,0
N,78,M,reg154,1,N,451,Y,N,Y,3290,3293,3292,NA,N,N,NA,0,0,0,0,0,0
N,26,M,reg145,1,N,257,N,N,Y,2154,2152,2253,3112,Y,Y,NA,5,10,0,0,2,0
Y,15,M,reg127,1,N,185,N,N,N,1685,1684,1621,2266,N,N,NA,4,19,0,6,0,0
Y,13,M,reg142,1,N,68,N,N,Y,NA,884,878,605,N,N,NA,0,5,3,3,0,0
Y,13,M,reg113,1,A,12,N,N,Y,NA,NA,758,1072,N,N,NA,5,5,0,1,0,0
Y,10,F,reg101,1,N,84,N,Y,N,NA,NA,NA,NA,N,N,NA,0,0,0,0,0,0
Y,21,F,reg145,1,F,223,N,N,Y,900,901,898,1281,N,N,NA,0,16,0,3,1,0
Y,83,M,reg127,1,N,451,Y,N,N,NA,NA,NA,NA,Y,N,NA,0,0,0,0,0,0
N,11,M,reg108,1,N,100,N,N,Y,643,1561,2053,2713,N,N,NA,54,144,1,39,0,0
Y,16,F,reg154,1,N,30,Y,N,N,NA,NA,3594,NA,N,Y,3628,6,6,0,0,2,0
Y,7,F,reg112,1,N,19,N,N,N,NA,NA,400,562,N,N,NA,5,5,0,1,0,0
Y,12,M,reg112,1,F,170,N,N,N,790,897,901,1251,N,N,NA,14,90,0,14,3,1
Y,11,M,reg145,1,N,74,N,N,Y,497,773,1096,1254,N,N,NA,20,59,0,14,3,2
Y,11,M,reg123,1,N,13,N,Y,Y,NA,NA,361,NA,N,N,NA,7,7,0,0,1,0
N,9,M,reg127,2,N,101,N,N,Y,233,639,806,1015,N,N,NA,9,23,0,4,1,0
Y,18,M,reg127,1,N,337,N,N,N,2166,2164,2252,2942,N,Y,NA,5,10,0,1,3,0
Y,59,M,reg102,1,N,281,Y,N,Y,2522,2520,2519,NA,N,N,NA,0,0,0,0,0,0
N,54,M,reg117,1,N,7,Y,N,N,NA,NA,NA,NA,N,N,NA,0,0,0,0,0,0
N,73,M,reg127,1,N,451,Y,N,N,2567,2670,2631,3746,N,N,NA,8,190,9,1,52,4
Y,10,M,reg132,1,N,19,N,N,Y,NA,NA,1043,1405,N,N,NA,18,18,0,4,0,0
Y,68,M,reg106,1,N,373,Y,N,Y,1259,1260,1256,1578,N,N,NA,0,0,0,0,0,0
Y,9,M,reg106,1,N,48,N,N,Y,NA,511,645,910,N,N,NA,4,12,0,3,0,0
N,9,M,reg127,1,N,23,N,N,Y,NA,NA,717,1014,N,N,NA,46,46,0,8,0,0
N,41,M,reg117,1,N,505,Y,N,Y,NA,NA,NA,NA,N,N,NA,0,1,0,0,1,0
Y,7,NA,reg142,1,N,17,N,N,N,NA,NA,733,1041,N,N,NA,5,5,0,1,0,0
Y,24,M,reg102,1,N,119,Y,N,Y,2801,2856,2928,4038,N,Y,3154,15,359,0,68,90,0
N,55,M,reg106,1,N,269,Y,N,Y,2932,2960,2975,4244,N,Y,NA,18,73,2,3,28,0
Y,10,M,reg141,1,N,55,N,N,Y,NA,264,517,626,N,N,NA,4,16,0,2,1,0
Y,57,M,reg102,1,N,17,N,N,N,NA,NA,1446,NA,N,N,NA,7,7,0,0,2,0
Y,17,M,reg102,1,N,158,N,N,Y,2031,1971,1809,2603,N,N,NA,15,167,0,40,1,0
Y,67,M,reg113,1,N,212,Y,N,Y,3516,3516,3516,NA,N,N,NA,0,4,0,0,1,0
N,35,M,reg112,1,N,4,Y,N,Y,NA,NA,NA,NA,N,N,NA,0,0,0,0,0,0
N,46,M,reg111,1,N,322,Y,N,Y,3691,3700,3701,4845,N,Y,3652,0,99,2,2,15,0
N,10,M,reg138,1,N,65,N,N,Y,NA,464,1222,1886,N,N,NA,30,54,3,12,0,0
N,66,M,reg137,1,N,12,Y,N,Y,NA,NA,NA,NA,N,Y,NA,3,3,0,0,1,0
N,66,M,reg132,1,N,272,Y,N,Y,2028,2028,2030,3012,N,N,NA,0,0,0,0,0,0
Y,46,M,reg117,1,N,317,N,N,Y,1896,1893,1957,NA,N,Y,NA,9,17,0,0,4,0
Y,11,M,reg132,1,A,82,N,N,N,852,853,1482,2062,N,N,NA,36,107,0,19,2,0
N,13,F,reg147,1,A,172,N,N,N,424,443,884,1198,N,N,NA,28,135,0,26,2,3
N,12,M,reg102,1,A,24,N,N,N,NA,NA,1005,1005,N,N,NA,75,75,0,22,1,0
N,62,M,reg127,1,N,280,Y,N,Y,2693,2638,2615,3053,N,N,NA,12,205,0,1,51,0
Y,10,M,reg112,1,N,14,N,N,N,NA,NA,331,478,N,N,NA,11,11,0,2,0,0
Y,34,M,reg126,1,N,26,Y,N,Y,NA,NA,NA,NA,Y,N,NA,0,0,0,0,0,0
Y,8,F,reg112,1,N,84,N,N,N,358,761,613,878,N,N,NA,18,67,0,17,0,0
Y,8,M,reg112,1,N,22,N,N,N,NA,NA,652,931,N,N,NA,24,24,0,5,0,0
Y,48,M,reg142,1,N,555,Y,N,N,2776,2791,2793,3845,N,N,NA,0,15,0,3,1,0
N,11,M,reg127,1,N,10,N,N,Y,NA,NA,1094,1494,N,N,NA,5,5,0,1,0,0
Y,9,F,reg129,1,N,43,N,N,Y,NA,547,945,1314,N,N,NA,20,28,0,7,0,0
Y,7,M,reg106,1,N,5,N,N,Y,NA,NA,NA,NA,N,N,NA,3,3,0,1,0,0
N,60,M,reg117,1,N,235,Y,N,Y,NA,NA,NA,NA,Y,N,NA,0,0,0,0,0,0
Y,11,M,reg103,1,N,38,N,N,Y,NA,630,1347,1899,N,N,NA,19,29,0,6,0,0
N,15,M,reg145,1,N,224,N,N,Y,3236,3331,3441,3992,N,Y,NA,86,590,5,50,85,0
N,18,M,reg103,1,N,203,N,N,Y,2239,2381,2702,3670,N,N,NA,42,179,0,35,6,0
Y,10,M,reg102,1,N,110,N,N,N,201,201,307,435,N,N,NA,4,11,0,3,0,0
Y,11,M,reg102,1,N,114,N,N,Y,1595,1468,1818,2501,N,N,NA,4,115,0,22,5,0
Y,9,M,reg111,1,N,20,N,N,Y,NA,NA,NA,NA,N,N,NA,0,0,0,0,0,0
N,34,M,reg103,1,N,53,Y,N,Y,NA,NA,NA,NA,N,N,NA,0,0,0,0,0,0
Y,58,M,reg137,1,N,28,Y,N,Y,NA,NA,2820,NA,N,N,NA,4,4,0,0,1,0
Y,42,M,reg138,1,N,550,N,N,Y,1704,1702,1702,3222,Y,N,NA,0,0,15,0,0,0
Y,12,M,reg132,1,N,106,N,N,N,1166,1291,1290,1716,N,N,NA,0,37,0,6,1,0
N,11,M,reg106,1,N,61,N,N,Y,NA,660,1140,1614,N,N,NA,90,141,1,46,0,0
Y,16,M,reg127,2,N,250,Y,N,N,842,845,842,1199,N,N,NA,0,30,0,7,0,0
Y,13,M,reg127,1,N,125,N,Y,Y,1066,1531,1460,1977,N,N,NA,15,53,0,11,0,0
N,58,M,reg118,1,N,611,N,N,Y,2872,2919,2849,3681,N,Y,NA,57,312,20,21,61,3
N,17,M,reg146,1,N,202,Y,N,Y,3169,3344,3401,4534,N,Y,3190,73,231,4,12,33,0
N,39,M,reg138,2,N,64,Y,N,Y,2909,2555,2615,3639,N,N,NA,5,77,9,13,8,0
Y,9,M,reg127,1,N,52,N,N,Y,NA,812,578,822,N,N,NA,43,104,0,24,1,0
N,24,M,reg127,1,N,535,Y,N,Y,3937,4174,4177,5384,N,Y,4081,9,258,0,18,26,0
Y,13,M,reg145,1,N,137,Y,N,Y,2286,2411,2652,3482,N,N,NA,55,149,1,20,13,0
N,14,M,reg144,1,N,41,N,N,N,NA,736,943,1275,N,N,NA,20,32,0,8,0,0
N,8,M,reg127,1,N,10,N,N,Y,NA,NA,916,1293,N,N,NA,10,10,0,2,0,0
N,15,M,reg137,1,N,138,N,N,Y,2552,3221,3246,4056,N,Y,NA,12,197,7,33,10,0
Y,14,M,reg112,1,N,16,N,N,N,NA,NA,298,420,N,N,NA,29,29,0,7,0,0
N,55,M,reg118,1,N,278,N,N,N,3587,3618,3587,4809,N,Y,3783,29,92,3,12,15,13
N,8,M,reg102,1,N,80,N,Y,Y,636,1104,2383,3155,N,Y,NA,221,304,0,60,13,0
N,8,F,reg135,1,N,21,N,N,Y,NA,NA,197,279,N,N,NA,5,5,0,1,0,0
Y,63,M,reg103,1,F,237,N,N,Y,2154,2152,2153,NA,N,N,NA,0,0,0,0,0,0
Y,9,M,reg137,1,N,101,N,N,Y,276,1499,1514,2090,N,N,NA,25,77,1,14,1,0
Y,31,M,reg127,1,N,87,Y,N,Y,1624,1596,2183,3219,N,N,NA,24,51,3,15,0,0
Y,14,M,reg153,1,N,48,N,N,N,NA,199,234,330,N,N,NA,7,19,0,5,0,0
N,66,M,reg146,1,N,103,Y,N,Y,2462,2474,2131,3027,N,N,NA,34,84,0,12,11,0
N,9,M,reg109,1,N,100,N,N,Y,1258,2014,1935,2188,N,N,NA,29,111,2,12,11,0
N,53,M,reg106,1,N,273,Y,N,Y,3121,2953,2812,3679,N,N,NA,34,217,1,33,63,0
N,9,M,reg112,1,N,69,N,N,Y,462,604,680,987,N,N,NA,5,36,0,8,0,0
Y,11,M,reg127,1,N,53,N,N,N,NA,727,708,1040,N,N,NA,4,15,0,2,2,0
Y,11,F,reg129,1,N,68,N,N,N,993,678,563,723,N,N,NA,18,40,0,6,4,0
N,22,F,reg113,1,N,484,Y,N,Y,2843,2940,2979,3960,N,Y,NA,8,49,0,0,10,0
Y,10,M,reg112,1,N,17,N,N,N,NA,NA,716,1011,N,N,NA,11,11,0,3,0,0
Y,10,F,reg142,1,N,39,N,N,Y,NA,928,1166,1636,N,N,NA,16,23,0,6,0,0
Y,7,F,reg127,1,F,63,N,N,N,NA,NA,NA,NA,N,N,NA,0,0,0,0,0,0
Y,9,M,reg137,1,N,20,N,N,Y,NA,NA,355,510,N,N,NA,5,5,0,1,0,0
N,65,M,reg141,1,N,347,Y,N,Y,NA,NA,NA,NA,N,N,NA,0,0,0,0,0,0
Y,19,M,reg102,1,N,26,N,N,N,NA,NA,NA,NA,N,N,NA,2,2,0,1,0,0
N,7,M,reg132,1,N,0,N,N,N,NA,NA,NA,NA,N,N,NA,2,2,0,1,0,0
N,40,M,reg145,1,N,32,Y,N,Y,NA,NA,3646,5107,N,Y,NA,15,18,0,2,3,0
N,34,M,reg150,1,N,256,Y,N,Y,3930,3930,3932,4922,N,Y,3968,0,0,2,0,0,0
N,11,M,reg128,2,A,99,N,N,Y,503,499,1050,909,N,N,NA,13,48,0,8,2,0
Y,8,M,reg127,1,N,12,N,N,Y,NA,NA,361,507,N,N,NA,5,5,0,1,0,0
Y,16,M,reg112,1,N,112,N,N,Y,1866,1868,1915,2689,N,N,NA,6,52,0,12,0,0
Y,15,F,reg103,1,A,51,N,N,Y,NA,1908,2059,2883,N,N,NA,116,235,0,72,1,0
N,71,M,reg142,1,N,287,Y,N,Y,2733,2733,2733,3986,Y,N,NA,0,69,1,0,16,6
Y,50,M,reg148,1,N,7,Y,N,N,NA,NA,NA,NA,N,N,NA,0,0,0,0,0,0
Y,10,M,reg140,1,N,19,N,N,Y,NA,NA,NA,NA,N,N,NA,0,0,0,0,0,0
Y,9,M,reg114,1,N,33,N,N,Y,NA,NA,792,1206,N,N,NA,28,32,0,8,0,0
Y,9,M,reg129,1,N,17,Y,N,Y,NA,NA,523,403,N,N,NA,19,19,0,3,1,0
Y,46,M,reg112,1,N,28,N,N,Y,NA,NA,NA,NA,N,N,NA,2,2,0,1,0,0
N,8,M,reg144,1,N,10,N,N,N,NA,NA,473,665,N,N,NA,4,4,0,1,0,0
N,44,M,reg123,1,F,279,Y,N,Y,1978,1994,1986,NA,N,N,NA,4,16,0,0,4,0
N,27,M,reg127,1,N,104,N,N,Y,1850,1819,1595,2493,N,N,NA,14,78,0,24,5,0
Y,8,F,reg112,1,A,2,N,N,N,NA,NA,192,267,N,N,NA,0,0,0,0,0,0
Y,14,M,reg127,1,N,40,Y,N,Y,NA,194,564,770,N,N,NA,27,32,1,6,0,0
Y,11,M,reg132,1,N,50,N,N,Y,NA,1962,1943,2680,N,N,NA,4,15,0,4,0,0
Y,8,M,reg132,1,N,15,N,N,Y,NA,NA,218,301,N,N,NA,6,6,0,1,0,0
Y,14,M,reg145,1,F,162,N,N,N,834,837,801,1105,N,N,NA,5,33,0,6,1,1
Y,38,F,reg117,1,F,73,Y,N,Y,NA,NA,NA,NA,N,N,NA,0,0,0,0,0,0
N,9,M,reg135,1,N,12,N,N,Y,NA,NA,1012,1380,N,N,NA,22,22,0,4,0,0
Y,17,M,reg132,1,N,10,N,N,N,NA,NA,NA,NA,N,N,NA,0,0,0,0,0,0
N,79,M,reg126,1,N,601,Y,N,Y,2567,2531,2568,3440,N,N,NA,6,59,0,3,6,0
Y,16,M,reg145,1,N,19,Y,N,Y,NA,NA,1787,2397,N,N,NA,18,18,0,6,0,0
N,7,M,reg133,1,N,29,N,N,Y,NA,NA,623,858,N,N,NA,8,8,0,3,0,0
Y,7,M,reg102,1,N,13,N,N,Y,NA,NA,194,274,N,N,NA,5,5,0,1,0,0
Y,11,F,reg112,1,N,42,N,N,N,NA,251,602,858,N,N,NA,25,35,0,7,0,0
Y,11,M,reg137,1,F,154,Y,N,Y,1318,1147,1132,1599,N,N,NA,4,78,0,16,0,0
Y,10,M,reg102,1,N,77,N,Y,N,517,921,874,1214,N,N,NA,27,65,0,14,1,0
N,15,M,reg103,1,F,239,N,N,N,2243,2344,2569,3123,N,N,NA,19,78,0,7,9,0
Y,61,M,reg117,1,N,525,N,N,Y,3082,3074,3078,3668,N,N,NA,0,16,0,1,4,0
Y,9,M,reg101,1,N,18,N,N,N,NA,NA,196,274,N,N,NA,6,6,0,2,0,0
Y,13,M,reg112,1,N,20,N,N,N,NA,NA,535,752,N,N,NA,23,23,0,5,0,0
Y,69,M,reg123,1,N,38,Y,N,Y,NA,2909,2977,3497,N,N,NA,8,12,1,0,3,0
N,54,M,reg112,1,N,454,Y,N,Y,2577,2575,2579,3475,N,N,NA,0,23,0,6,0,0
Y,10,F,reg102,1,N,6,N,N,Y,NA,NA,NA,NA,N,N,NA,0,0,0,0,0,0
Y,12,F,reg114,1,N,72,N,N,Y,1179,1138,1142,1883,N,N,NA,0,12,2,2,1,0
Y,15,M,reg140,1,N,21,N,N,N,NA,NA,NA,NA,N,N,NA,0,0,0,0,0,0
Y,60,M,reg127,1,N,26,Y,N,Y,NA,NA,NA,NA,N,N,NA,0,0,0,0,0,0
N,33,M,reg117,1,N,2,Y,N,Y,NA,NA,NA,NA,N,N,NA,0,0,0,0,0,0
Y,18,M,reg137,1,N,42,N,N,Y,NA,2716,2692,3594,N,N,NA,21,33,5,0,11,0
Y,8,M,reg127,1,N,18,N,N,Y,NA,NA,194,268,N,N,NA,6,6,0,2,0,0
Y,19,M,reg140,1,N,378,N,N,Y,650,652,878,1183,N,N,NA,8,8,0,2,0,0
N,64,M,reg127,1,N,530,Y,N,N,NA,NA,NA,NA,N,N,NA,0,0,0,0,0,0
N,17,M,reg154,1,N,307,N,N,Y,1506,1504,1504,1907,N,N,NA,0,10,0,2,0,0
N,67,M,reg126,1,N,204,Y,N,Y,2409,2408,2411,3106,Y,N,NA,0,10,0,0,2,0
N,12,M,reg112,1,N,78,N,Y,Y,1085,1081,1132,1590,N,N,NA,5,15,0,4,0,0
Y,19,M,reg152,1,N,10,N,N,Y,NA,NA,2178,NA,N,N,NA,5,5,0,0,1,0
N,8,F,reg132,1,N,83,N,N,Y,516,556,1061,1440,N,N,NA,22,40,0,8,1,0
Y,9,M,reg102,1,N,80,N,N,Y,832,955,956,821,N,N,NA,0,40,0,5,3,0
Y,11,M,reg102,1,N,41,N,Y,Y,NA,NA,NA,NA,N,N,NA,0,0,0,0,0,0
N,4,M,reg132,1,F,79,N,N,N,NA,NA,NA,NA,N,N,NA,0,0,0,0,0,0
Y,6,M,reg102,1,N,14,N,Y,Y,NA,NA,1310,1809,N,N,NA,27,27,0,7,0,0
Y,67,M,reg131,1,N,29,Y,N,Y,NA,NA,882,NA,N,N,NA,4,4,0,0,2,0
Y,16,M,reg145,1,N,6,N,N,Y,NA,NA,765,1081,N,N,NA,4,4,0,1,0,0
Y,11,M,reg111,1,N,23,N,N,N,NA,NA,344,577,N,N,NA,17,17,0,2,1,0
N,12,M,reg103,1,F,73,N,Y,Y,410,407,1177,1658,N,N,NA,10,20,0,4,0,0
N,8,F,reg127,1,N,50,N,N,Y,NA,435,510,707,N,N,NA,7,41,0,10,2,0
Y,17,M,reg106,1,N,71,N,N,N,885,774,1169,NA,N,N,NA,5,15,0,0,3,0
Y,5,F,reg106,1,F,13,N,N,N,NA,NA,NA,NA,N,N,NA,0,0,0,0,0,0
Y,15,M,reg147,1,N,29,N,N,Y,NA,NA,1079,1383,N,N,NA,7,7,8,1,2,0
N,11,M,reg118,1,N,109,N,N,Y,916,869,854,1165,N,N,NA,20,33,1,5,2,0
Y,19,M,reg103,1,N,14,N,N,N,NA,NA,1799,NA,N,N,NA,4,4,0,0,1,0
